iter	Passed	Remaining
670	997	488
671	998	487
672	999	485
673	1000	483
674	1001	482
675	1002	480
676	1003	478
677	1004	477
678	1005	475
679	1006	473
680	1008	472
681	1009	470
682	1010	468
683	1011	467
684	1012	465
685	1013	463
686	1014	462
687	1015	460
688	1016	459
689	1018	457
690	1019	455
691	1020	454
692	1021	452
693	1022	450
694	1023	449
695	1024	447
696	1025	445
697	1027	444
698	1028	442
699	1029	441
700	1030	439
701	1031	437
702	1032	436
703	1034	434
704	1035	433
705	1036	431
706	1037	430
707	1039	428
708	1040	427
709	1041	425
710	1042	423
711	1043	422
712	1045	420
713	1046	419
714	1047	417
715	1048	415
716	1049	414
717	1050	412
718	1051	411
719	1053	409
720	1054	407
721	1055	406
722	1056	404
723	1057	403
724	1058	401
725	1059	399
726	1060	398
727	1061	396
728	1062	395
729	1064	393
730	1065	392
731	1066	390
732	1067	388
733	1068	387
734	1069	385
735	1071	384
736	1072	382
737	1073	381
738	1074	379
739	1075	377
740	1076	376
741	1077	374
742	1078	373
743	1079	371
744	1080	369
745	1081	368
746	1082	366
747	1083	365
748	1084	363
749	1086	362
750	1087	360
751	1088	358
752	1089	357
753	1090	355
754	1091	354
755	1092	352
756	1093	350
757	1094	349
758	1095	347
759	1096	346
760	1097	344
761	1098	343
762	1099	341
763	1101	340
764	1102	338
765	1103	337
766	1104	335
767	1106	334
768	1107	332
769	1108	331
770	1110	329
771	1111	328
772	1112	326
773	1114	325
774	1115	323
775	1116	322
776	1117	320
777	1118	319
778	1119	317
779	1120	316
780	1122	314
781	1123	313
782	1124	311
783	1125	310
784	1126	308
785	1128	307
786	1129	305
787	1130	304
788	1132	302
789	1133	301
790	1134	299
791	1135	298
792	1136	296
793	1137	295
794	1139	293
795	1140	292
796	1141	290
797	1141	289
798	1142	287
799	1143	285
800	1144	284
801	1145	282
802	1146	281
803	1148	279
804	1149	278
805	1150	276
806	1151	275
807	1152	273
808	1153	272
809	1154	270
810	1155	269
811	1156	267
812	1157	266
813	1158	264
814	1160	263
815	1161	261
816	1162	260
817	1164	259
818	1165	257
819	1166	256
820	1167	254
821	1168	253
822	1169	251
823	1170	250
824	1171	248
825	1172	247
826	1174	245
827	1175	244
828	1177	242
829	1178	241
830	1179	239
831	1180	238
832	1181	236
833	1182	235
834	1184	233
835	1185	232
836	1186	230
837	1187	229
838	1188	228
839	1189	226
840	1190	225
841	1191	223
842	1192	222
843	1193	220
844	1194	219
845	1195	217
